Cleaned,Council District,Short Description,Type,Enrolled,Females,Max Count Allowed,Begin Age,End Age,Begin Date,End Date,Begin Time,End Time,Season,
Msgr. Ramon D. Garcia Recreation Center,14,Winter GPLA Basketball: Majors,Basketball,33,33,60,11,12,1/28/2017,4/8/2017, 9:00 am, 6:00 pm,Winter,
Msgr. Ramon D. Garcia Recreation Center,14,Winter GPLA Basketball - Majors,Basketball,0,0,50,11,12,1/28/2017,3/25/2017, 9:00 am, 5:00 pm,Winter,
Panorama City Recreation Center,6,Spring GPLA Volleyball - Major,Soccer Futsal,0,0,60,11,12,2/25/2017,5/31/2017,11:00 AM,12:00 PM,Spring,
Seoul International Park,10,Spring GPLA Basketball: Majors,Basketball,0,0,200,11,12,3/4/2017,4/22/2017, 9:00 am, 6:00 pm,Spring,
Wabash Recreation Center,14,Spring GPLA Softball: Juniors,Volleyball,0,0,72,11,12,3/18/2017,4/29/2017, 9:00 am, 5:00 pm,Spring,
Wabash Recreation Center,14,Spring GPLA Softball - Majors,Softball,0,0,30,11,12,3/25/2017,6/3/2017,11:00 AM,12:00 PM,Spring,
Rancho Cienega Sports Complex,10,Spring Basketball - GPLA Major (11-13),Basketball,0,0,50,11,12,4/1/2017,6/30/2017, 9:00 am, 6:00 pm,Spring,
Lincoln Heights Recreation Center,1,Spring GPLA Softball - Major,Softball,29,29,30,11,12,4/1/2017,6/17/2017, 9:30 am,12:00 PM,Spring,
Lincoln Heights Recreation Center,1,Spring Basketball: GPLA Majors,Basketball,3,3,40,11,12,4/8/2017,6/24/2017, 9:00 am, 6:00 pm,Spring,
Lincoln Heights Recreation Center,1,Spring GPLA Kickball (11 - 12),Kickball,0,0,40,11,12,4/8/2017,6/3/2017, 3:00 pm, 5:00 pm,Spring,
El Sereno Recreation Center,14,Spring GPLA Softball: Majors,Softball,34,34,60,11,12,4/14/2017,6/17/2017, 9:00 am, 6:00 pm,Spring,
El Sereno Recreation Center,14,Spring GPLA Basketball: Majors,Basketball,42,42,45,11,12,4/15/2017,6/10/2017, 5:00 pm, 8:00 pm,Spring,
Reseda Park,3,Spring GPLA Basketball (13 - 15),Basketball,35,35,40,11,12,5/6/2017,6/24/2017,10:00 AM, 2:00 pm,Spring,
Reseda Park,3,Spring/Summer GPLA Basketball - Majors,Basketball,67,67,75,11,12,5/27/2017,7/29/2017,10:00 AM, 9:00 pm,Spring,
Yosemite Recreation Center,14,Summer GPLA Basketball: Majors,Basketball,17,17,20,11,12,6/1/2017,9/9/2017, 9:00 am, 6:00 pm,Summer,
Yosemite Recreation Center,14,Summer GPLA Basketball Majors (11-12),Basketball,44,44,100,11,12,6/3/2017,8/26/2017, 9:00 am, 2:00 pm,Summer,
Yosemite Recreation Center,14,Summer GPLA Basketball - Majors,Basketball,0,0,80,11,12,6/10/2017,8/26/2017, 5:00 pm, 9:00 pm,Summer,
WIlmington Recreation Center,15,Summer GPLA Basketball - Major,Basketball,0,0,60,11,12,6/10/2017,9/2/2017, 9:00 am, 5:00 pm,Summer,
Shatto Recreation Center,13,Summer GPLA Beach Soccer - Majors,Soccer Futsal,172,172,200,11,12,7/6/2017,9/16/2017, 4:30 pm, 5:30 pm,Summer,
